alpha,chi2
8.000000e-01,1.068794e+02
8.004004e-01,1.068351e+02
8.008008e-01,1.067904e+02
8.012012e-01,1.067454e+02
8.016016e-01,1.067000e+02
8.020020e-01,1.066543e+02
8.024024e-01,1.066082e+02
8.028028e-01,1.065617e+02
8.032032e-01,1.065149e+02
8.036036e-01,1.064677e+02
8.040040e-01,1.064202e+02
8.044044e-01,1.063723e+02
8.048048e-01,1.063241e+02
8.052052e-01,1.062755e+02
8.056056e-01,1.062265e+02
8.060060e-01,1.061772e+02
8.064064e-01,1.061276e+02
8.068068e-01,1.060776e+02
8.072072e-01,1.060272e+02
8.076076e-01,1.059765e+02
8.080080e-01,1.059255e+02
8.084084e-01,1.058741e+02
8.088088e-01,1.058223e+02
8.092092e-01,1.057702e+02
8.096096e-01,1.057177e+02
8.100100e-01,1.056649e+02
8.104104e-01,1.056118e+02
8.108108e-01,1.055583e+02
8.112112e-01,1.055044e+02
8.116116e-01,1.054502e+02
8.120120e-01,1.053957e+02
8.124124e-01,1.053408e+02
8.128128e-01,1.052855e+02
8.132132e-01,1.052300e+02
8.136136e-01,1.051740e+02
8.140140e-01,1.051178e+02
8.144144e-01,1.050612e+02
8.148148e-01,1.050042e+02
8.152152e-01,1.049469e+02
8.156156e-01,1.048893e+02
8.160160e-01,1.048313e+02
8.164164e-01,1.047730e+02
8.168168e-01,1.047143e+02
8.172172e-01,1.046553e+02
8.176176e-01,1.045960e+02
8.180180e-01,1.045363e+02
8.184184e-01,1.044763e+02
8.188188e-01,1.044160e+02
8.192192e-01,1.043553e+02
8.196196e-01,1.042943e+02
8.200200e-01,1.042329e+02
8.204204e-01,1.041713e+02
8.208208e-01,1.041093e+02
8.212212e-01,1.040469e+02
8.216216e-01,1.039842e+02
8.220220e-01,1.039212e+02
8.224224e-01,1.038579e+02
8.228228e-01,1.037943e+02
8.232232e-01,1.037303e+02
8.236236e-01,1.036660e+02
8.240240e-01,1.036014e+02
8.244244e-01,1.035364e+02
8.248248e-01,1.034712e+02
8.252252e-01,1.034056e+02
8.256256e-01,1.033397e+02
8.260260e-01,1.032735e+02
8.264264e-01,1.032070e+02
8.268268e-01,1.031402e+02
8.272272e-01,1.030731e+02
8.276276e-01,1.030057e+02
8.280280e-01,1.029380e+02
8.284284e-01,1.028700e+02
8.288288e-01,1.028017e+02
8.292292e-01,1.027331e+02
8.296296e-01,1.026642e+02
8.300300e-01,1.025950e+02
8.304304e-01,1.025255e+02
8.308308e-01,1.024558e+02
8.312312e-01,1.023858e+02
8.316316e-01,1.023154e+02
8.320320e-01,1.022448e+02
8.324324e-01,1.021740e+02
8.328328e-01,1.021028e+02
8.332332e-01,1.020314e+02
8.336336e-01,1.019597e+02
8.340340e-01,1.018878e+02
8.344344e-01,1.018156e+02
8.348348e-01,1.017431e+02
8.352352e-01,1.016704e+02
8.356356e-01,1.015974e+02
8.360360e-01,1.015242e+02
8.364364e-01,1.014507e+02
8.368368e-01,1.013769e+02
8.372372e-01,1.013029e+02
8.376376e-01,1.012287e+02
8.380380e-01,1.011542e+02
8.384384e-01,1.010795e+02
8.388388e-01,1.010046e+02
8.392392e-01,1.009294e+02
8.396396e-01,1.008540e+02
8.400400e-01,1.007784e+02
8.404404e-01,1.007026e+02
8.408408e-01,1.006265e+02
8.412412e-01,1.005503e+02
8.416416e-01,1.004738e+02
8.420420e-01,1.003971e+02
8.424424e-01,1.003202e+02
8.428428e-01,1.002431e+02
8.432432e-01,1.001658e+02
8.436436e-01,1.000883e+02
8.440440e-01,1.000106e+02
8.444444e-01,9.993269e+01
8.448448e-01,9.985461e+01
8.452452e-01,9.977635e+01
8.456456e-01,9.969791e+01
8.460460e-01,9.961928e+01
8.464464e-01,9.954048e+01
8.468468e-01,9.946150e+01
8.472472e-01,9.938234e+01
8.476476e-01,9.930302e+01
8.480480e-01,9.922353e+01
8.484484e-01,9.914388e+01
8.488488e-01,9.906406e+01
8.492492e-01,9.898409e+01
8.496496e-01,9.890396e+01
8.500501e-01,9.882368e+01
8.504505e-01,9.874325e+01
8.508509e-01,9.866267e+01
8.512513e-01,9.858196e+01
8.516517e-01,9.850110e+01
8.520521e-01,9.842010e+01
8.524525e-01,9.833897e+01
8.528529e-01,9.825772e+01
8.532533e-01,9.817633e+01
8.536537e-01,9.809482e+01
8.540541e-01,9.801319e+01
8.544545e-01,9.793144e+01
8.548549e-01,9.784957e+01
8.552553e-01,9.776759e+01
8.556557e-01,9.768551e+01
8.560561e-01,9.760332e+01
8.564565e-01,9.752103e+01
8.568569e-01,9.743864e+01
8.572573e-01,9.735615e+01
8.576577e-01,9.727358e+01
8.580581e-01,9.719091e+01
8.584585e-01,9.710817e+01
8.588589e-01,9.702534e+01
8.592593e-01,9.694243e+01
8.596597e-01,9.685945e+01
8.600601e-01,9.677641e+01
8.604605e-01,9.669330e+01
8.608609e-01,9.661012e+01
8.612613e-01,9.652689e+01
8.616617e-01,9.644361e+01
8.620621e-01,9.636028e+01
8.624625e-01,9.627690e+01
8.628629e-01,9.619348e+01
8.632633e-01,9.611002e+01
8.636637e-01,9.602653e+01
8.640641e-01,9.594301e+01
8.644645e-01,9.585946e+01
8.648649e-01,9.577589e+01
8.652653e-01,9.569230e+01
8.656657e-01,9.560870e+01
8.660661e-01,9.552508e+01
8.664665e-01,9.544146e+01
8.668669e-01,9.535783e+01
8.672673e-01,9.527420e+01
8.676677e-01,9.519058e+01
8.680681e-01,9.510697e+01
8.684685e-01,9.502337e+01
8.688689e-01,9.493979e+01
8.692693e-01,9.485623e+01
8.696697e-01,9.477270e+01
8.700701e-01,9.468920e+01
8.704705e-01,9.460573e+01
8.708709e-01,9.452230e+01
8.712713e-01,9.443892e+01
8.716717e-01,9.435558e+01
8.720721e-01,9.427230e+01
8.724725e-01,9.418907e+01
8.728729e-01,9.410590e+01
8.732733e-01,9.402280e+01
8.736737e-01,9.393976e+01
8.740741e-01,9.385680e+01
8.744745e-01,9.377392e+01
8.748749e-01,9.369112e+01
8.752753e-01,9.360841e+01
8.756757e-01,9.352578e+01
8.760761e-01,9.344326e+01
8.764765e-01,9.336083e+01
8.768769e-01,9.327850e+01
8.772773e-01,9.319628e+01
8.776777e-01,9.311417e+01
8.780781e-01,9.303218e+01
8.784785e-01,9.295030e+01
8.788789e-01,9.286855e+01
8.792793e-01,9.278692e+01
8.796797e-01,9.270542e+01
8.800801e-01,9.262406e+01
8.804805e-01,9.254284e+01
8.808809e-01,9.246176e+01
8.812813e-01,9.238082e+01
8.816817e-01,9.230004e+01
8.820821e-01,9.221940e+01
8.824825e-01,9.213893e+01
8.828829e-01,9.205862e+01
8.832833e-01,9.197847e+01
8.836837e-01,9.189850e+01
8.840841e-01,9.181870e+01
8.844845e-01,9.173907e+01
8.848849e-01,9.165963e+01
8.852853e-01,9.158037e+01
8.856857e-01,9.150130e+01
8.860861e-01,9.142242e+01
8.864865e-01,9.134374e+01
8.868869e-01,9.126525e+01
8.872873e-01,9.118697e+01
8.876877e-01,9.110889e+01
8.880881e-01,9.103101e+01
8.884885e-01,9.095335e+01
8.888889e-01,9.087590e+01
8.892893e-01,9.079866e+01
8.896897e-01,9.072165e+01
8.900901e-01,9.064486e+01
8.904905e-01,9.056829e+01
8.908909e-01,9.049195e+01
8.912913e-01,9.041584e+01
8.916917e-01,9.033997e+01
8.920921e-01,9.026434e+01
8.924925e-01,9.018894e+01
8.928929e-01,9.011379e+01
8.932933e-01,9.003889e+01
8.936937e-01,8.996424e+01
8.940941e-01,8.988984e+01
8.944945e-01,8.981570e+01
8.948949e-01,8.974182e+01
8.952953e-01,8.966821e+01
8.956957e-01,8.959486e+01
8.960961e-01,8.952179e+01
8.964965e-01,8.944899e+01
8.968969e-01,8.937647e+01
8.972973e-01,8.930423e+01
8.976977e-01,8.923228e+01
8.980981e-01,8.916061e+01
8.984985e-01,8.908924e+01
8.988989e-01,8.901816e+01
8.992993e-01,8.894738e+01
8.996997e-01,8.887689e+01
9.001001e-01,8.880671e+01
9.005005e-01,8.873684e+01
9.009009e-01,8.866727e+01
9.013013e-01,8.859801e+01
9.017017e-01,8.852907e+01
9.021021e-01,8.846044e+01
9.025025e-01,8.839214e+01
9.029029e-01,8.832416e+01
9.033033e-01,8.825650e+01
9.037037e-01,8.818918e+01
9.041041e-01,8.812218e+01
9.045045e-01,8.805552e+01
9.049049e-01,8.798920e+01
9.053053e-01,8.792322e+01
9.057057e-01,8.785758e+01
9.061061e-01,8.779228e+01
9.065065e-01,8.772733e+01
9.069069e-01,8.766273e+01
9.073073e-01,8.759849e+01
9.077077e-01,8.753460e+01
9.081081e-01,8.747106e+01
9.085085e-01,8.740789e+01
9.089089e-01,8.734508e+01
9.093093e-01,8.728262e+01
9.097097e-01,8.722054e+01
9.101101e-01,8.715881e+01
9.105105e-01,8.709746e+01
9.109109e-01,8.703648e+01
9.113113e-01,8.697587e+01
9.117117e-01,8.691563e+01
9.121121e-01,8.685578e+01
9.125125e-01,8.679630e+01
9.129129e-01,8.673720e+01
9.133133e-01,8.667849e+01
9.137137e-01,8.662016e+01
9.141141e-01,8.656221e+01
9.145145e-01,8.650466e+01
